Log_Rank_Diff,Log_Pts_Diff,Odds_Logit_Diff,Court,Surface,Series,Round,Tournament,Elo_Diff,Surface_Elo_Diff,Player_1,Player_2,Winner,Date,y
-0.3108491317333151,0.25728459526741077,0.3598545968561117,Outdoor,Hard,International,1st Round,Chennai Open,0.0,0.0,Ascione T.,Greul S.,Ascione T.,2006-01-02,1
0.05465841253786419,-0.04868217863938806,-0.35985459685611215,Outdoor,Hard,International,1st Round,Chennai Open,0.0,0.0,Daniel M.,Behrend T.,Behrend T.,2006-01-02,0
-0.8777184570879157,1.1369311529702468,0.8134333464344473,Outdoor,Hard,International,1st Round,Chennai Open,0.0,0.0,Mello R.,Amritraj P.,Amritraj P.,2006-01-02,0
0.05588045839445677,-0.04631478218111962,-0.1508228897345839,Outdoor,Hard,International,1st Round,Chennai Open,0.0,0.0,Reynolds B.,Phau B.,Phau B.,2006-01-02,0
-1.6701813626031203,2.267899535006156,,Outdoor,Hard,International,1st Round,Chennai Open,0.0,0.0,Vanek J.,Uppal V.,Vanek J.,2006-01-02,1
-0.07257069283483553,0.04383631481317796,0.05406722127027558,Outdoor,Hard,International,1st Round,Chennai Open,0.0,0.0,Vliegen K.,Wang Y.T.,Vliegen K.,2006-01-02,1
0.75377180237638,-0.5498798228900803,-0.6822971645358797,Outdoor,Hard,International,1st Round,Next Generation Adelaide International,0.0,0.0,Calleri A.,Berdych T.,Berdych T.,2006-01-02,0
1.1895840668738367,-0.8898255294963668,-0.5985312041850962,Outdoor,Hard,International,1st Round,Next Generation Adelaide International,0.0,0.0,Clement A.,Ancic M.,Ancic M.,2006-01-02,0
-0.5955087109960298,0.5713617852347186,0.43762221974269544,Outdoor,Hard,International,1st Round,Next Generation Adelaide International,0.0,0.0,Kohlschreiber P.,Guccione C.,Kohlschreiber P.,2006-01-02,1
1.133459019998278,-0.9362982982016899,-0.9317949184101203,Outdoor,Hard,International,1st Round,Next Generation Adelaide International,0.0,0.0,Luczak P.,Malisse X.,Malisse X.,2006-01-02,0
-1.0068047394149873,0.7690624909970678,0.43762221974269544,Outdoor,Hard,International,1st Round,Next Generation Adelaide International,0.0,0.0,Robredo T.,Melzer J.,Robredo T.,2006-01-02,1
-3.3038851991871576,,2.3780926455021905,Outdoor,Hard,International,1st Round,Qatar Exxon Mobil Open,0.0,0.0,Baghdatis M.,Sultan-Khalfan A.,Baghdatis M.,2006-01-02,1
-0.8109302162163288,0.5714640700531213,0.6822971645358799,Outdoor,Hard,International,1st Round,Qatar Exxon Mobil Open,0.0,0.0,Gasquet R.,Henman T.,Henman T.,2006-01-02,0
-0.1823215567939549,0.1118483001365691,0.9317949184101203,Outdoor,Hard,International,1st Round,Qatar Exxon Mobil Open,0.0,0.0,Haas T.,Wawrinka S.,Haas T.,2006-01-02,1
-0.058840500022933284,0.06110497866217823,0.3598545968561117,Outdoor,Hard,International,1st Round,Qatar Exxon Mobil Open,0.0,0.0,Lopez F.,Hanescu V.,Lopez F.,2006-01-02,1
-0.616774201775371,0.43913832321475255,0.3598545968561117,Outdoor,Hard,International,1st Round,Qatar Exxon Mobil Open,0.0,0.0,Mirnyi M.,Moodie W.,Moodie W.,2006-01-02,0
-0.4883527679139319,0.361443916049903,0.5108256237659907,Outdoor,Hard,International,1st Round,Qatar Exxon Mobil Open,0.0,0.0,Rochus O.,Sanguinetti D.,Sanguinetti D.,2006-01-02,0
